GENE	EVC-A-1	EVC-B-2	RA72Q-A-3	RA72Q-C-2	WT-1-1	WT-2-2
BUB1	58.868	59.5798	85.3599	73.5526	73.583	75.6993
BUB1B	76.4755	76.8333	84.7739	78.7489	77.6116	80.6077
BUB3	180.716	184.143	216.515	202.85	205.419	205.05
BUD13	15.7915	15.4537	15.5784	14.4716	14.8967	15.5628
BUD31	56.6323	58.7278	58.355	54.6876	57.7161	56.3251
BVES	0.244217	0.328062	0.231842	0.30802	0.299836	0.245613
BVES-AS1	0	0.0180223	0	0	0.0185308	0
BYSL	22.5237	22.049	17.5408	17.9303	17.9676	17.3237
BZRAP1	0.0816425	0.0856714	0.0694261	0.0850323	0.111077	0.0687688
BZRAP1-AS1	2.91825	2.7	2.16021	2.51958	2.11707	2.209
BZW1	73.6788	71.9118	75.4818	74.6314	76.5325	74.8908
BZW2	55.926	55.0098	46.0549	45.644	47.6269	46.7721
C10orf10	0.628025	0.674976	0.638106	0.700528	0.633673	0.737235
C10orf105	0.025078	0.00600358	0	0	0.00614903	0.00615644
C10orf107	0	0	0	0	0	0.0266386
C10orf11	0.536874	0.989022	1.06501	0.985404	0.691513	1.09524
C10orf111	0.244739	0.216411	0.317438	0.224603	0.24106	0.258884
C10orf113	0	0	0	0	0	0
C10orf114	4.88951	4.18037	3.55435	3.83192	4.15715	4.0674
C10orf118	6.44771	7.04221	7.3984	6.71758	6.91808	7.45081
C10orf12	4.05469	4.14769	3.89824	4.10933	3.79374	3.68027
C10orf120	0	0	0	0	0	0
C10orf128	0	0	0	0	0	0
C10orf129	0.0376771	0.0541385	0.0560556	0.0936466	0.0185554	0.0370079
C10orf131	0.29247	0.448166	0.203014	0.348944	0.288002	0.315921
C10orf137	11.1205	10.7586	9.10373	9.19244	9.01452	9.64557
C10orf2	21.0117	20.3348	16.9555	15.9338	15.5638	15.4389
C10orf25	0.80347	0.932664	0.871935	0.967971	0.940361	0.761345
C10orf32	23.2633	25.5315	21.714	21.6188	21.2035	21.8636
C10orf32-AS3MT	1.00504	0.948524	0.992971	0.947127	1.30591	0.500922
C10orf35	22.259	21.4477	19.0393	20.9635	21.0257	19.6229
C10orf40	0	0	0	0	0	0
C10orf53	0	0	0	0	0	0
C10orf54	2.3774	1.7945	3.26546	3.67536	3.86191	3.75339
C10orf55	0	0	0	0	0	0
C10orf62	0.438103	0.314756	0.678963	0.462785	0.620307	0.511006
C10orf67	0.0415229	0.00994408	0.0205924	0.0103205	0.0306741	0
C10orf68	1.7749	1.70024	1.75564	1.38602	1.43643	1.50673
C10orf71	0	0	0	0	0	0
C10orf76	6.84419	6.17188	7.1431	6.83352	6.78444	6.48611
C10orf82	8.12925	7.9596	7.59928	9.04768	11.7272	9.53944
C10orf88	6.78529	6.70773	6.34856	6.11841	6.50845	6.34509
C10orf90	0	0	0	0	0	0
C10orf91	0.0531936	0	0	0.0528852	0	0
C10orf95	2.40433	2.51845	2.18417	2.30103	2.56739	2.44991
C10orf99	0	0	0	0	0	0
C11orf1	14.3357	12.8941	15.0874	15.3043	15.6652	15.6218
C11orf16	0	0.031648	0.0163843	0.0492691	0.032541	0
C11orf21	0	0	0	0	0	0
C11orf24	19.832	19.2848	22.0031	22.0699	20.6404	21.0687
C11orf30	7.76404	7.91482	8.93914	8.15585	7.90067	8.19981
C11orf31	27.7709	28.0768	27.0536	30.669	30.3846	29.8645
C11orf34	0.0212609	0.0203666	0.0421757	0.0211376	0.0209413	0
C11orf35	0.600419	0.618301	0.699749	0.716325	0.857521	0.57501
C11orf40	0	0	0	0	0	0
C11orf42	0.0907989	0.115973	0.0300199	0	0.0596228	0.118915
C11orf44	0	0	0	0	0	0
C11orf45	0.169533	0.276097	0.193298	0.247195	0.155054	0.105811
C11orf48	42.2527	43.2079	40.5951	39.3236	38.1306	40.3264
C11orf49	21.9751	22.457	22.5342	22.3232	23.7152	21.9057
C11orf52	0.0303613	0.0581703	0	0	0	0
C11orf53	0.0671026	0.0642801	0.0332782	0.0667135	0.099141	0.0988662
C11orf54	11.8875	11.5121	13.5193	12.4909	12.4134	13.3626
C11orf57	17.4553	17.7712	18.2253	17.3664	16.8407	17.4434
C11orf58	27.9527	27.4838	25.9251	26.0686	25.1739	26.0952
C11orf63	0.0276187	0	0.016976	0	0.016858	0.0168111
C11orf65	0.274234	0.229862	0.408003	0.340805	0.303876	0.336704
C11orf68	24.6595	26.241	28.1132	30.0436	29.6037	27.55
C11orf70	0.336112	0.478037	1.2419	0.816674	0.394852	0.654615
C11orf71	13.3188	11.7316	13.3602	13.688	13.5454	13.9853
C11orf73	22.7381	21.6615	19.8263	20.2153	22.7624	21.4405
C11orf74	7.287	6.84791	9.05743	6.09839	6.4506	7.24813
C11orf75	18.1699	18.3236	10.6377	14.2904	14.0125	13.1772
C11orf80	5.30997	5.35277	4.51439	5.0463	5.29169	5.73678
C11orf82	16.0328	15.5935	17.7242	16.4027	15.9835	16.1305
C11orf83	10.3556	10.4347	9.31845	11.2344	10.8735	11.0353
C11orf84	20.3388	21.4208	18.5203	21.2344	21.1328	19.5008
C11orf85	0	0	0	0	0	0
C11orf86	0.202799	0.111011	0.229884	0.316837	0.171215	0.0284568
C11orf87	0.0595212	0.0760235	0.0737959	0.0789014	0.117253	0.082824
C11orf88	0	0	0	0	0	0
C11orf91	0.569081	0.506206	0.443496	0.363717	0.52049	0.47912
C11orf92	7.69571	7.97391	6.01377	6.60994	5.99315	6.6781
C11orf93	0.41642	0.338137	0.350126	0.350283	0.221149	0.157525
C11orf94	1.20634	1.32068	0.854656	1.37068	1.69744	1.862
C11orf95	5.71576	5.78431	5.40701	5.69313	5.74963	5.74408
C11orf96	19.4462	16.6176	25.4329	34.8957	32.1805	29.98
C12orf10	47.7626	44.7034	48.4334	54.0538	52.5273	50.6697
C12orf23	33.5814	34.0105	35.803	35.1819	36.3418	36.2764
C12orf29	13.4922	13.3735	14.259	13.181	13.1321	13.2212
C12orf36	0	0	0	0	0	0
C12orf39	0.224735	0.0717607	0.222906	0.0744773	0.221357	0.220743
C12orf4	9.19497	9.18495	8.70663	7.46034	8.00311	7.98865
C12orf40	0.010982	0.0105201	0	0	0	0.0215739
C12orf42	0	0.0486188	0	0	0	0
C12orf43	6.92497	6.6813	6.21132	5.96245	5.9234	5.74425
C12orf44	61.3697	60.1219	47.9298	51.9271	55.2811	50.9293
C12orf45	25.0672	24.0779	21.8311	19.5188	22.0809	19.2172
C12orf49	17.8048	17.9246	19.0968	19.0209	18.4195	18.7269
C12orf5	4.24731	4.28263	4.89494	4.73378	4.9203	4.7604
C12orf50	0	0.0181423	0.0187848	0.0188291	0	0.0186025
C12orf52	19.3802	19.6744	18.9173	20.6351	20.2296	20.5645
C12orf54	0.0829573	0.238404	0.0822821	0.45362	0.531118	0.325936
C12orf56	0.0457357	0.137627	0.0407141	0.102027	0.0808631	0.0604791
C12orf57	198.534	192.83	218.096	235.843	243.963	231.114
C12orf60	1.35625	1.59448	1.95668	1.47097	1.45731	1.51382
C12orf61	0.499396	0.570388	0.533433	0.477404	0.586484	0.452793
C12orf65	17.4477	19.3755	18.2845	17.9951	17.4158	18.5716
C12orf66	8.16407	8.12758	9.28636	8.64762	9.78287	9.40608
C12orf68	11.2129	10.7286	12.5053	14.1066	14.1719	14.5633
C12orf69	0.0897785	0.0860022	0.148413	0.223145	0.117905	0.132276
C12orf70	0.133064	0.15296	0.184773	0.0264584	0.157276	0.10456
C12orf71	0	0	0.0369872	0.0370745	0	0
C12orf73	9.45028	9.08936	9.99825	9.1867	10.0604	9.69498
C12orf74	0	0	0	0	0	0
C12orf75	33.1203	29.3605	31.5648	33.6092	32.2129	29.1443
C12orf76	5.09176	5.54982	6.50713	6.14932	6.57445	7.30962
C12orf77	0.0653459	0.0834631	0.0648141	0.0433114	0.0429092	0.0427902
C13orf35	0	0	0	0	0.0137473	0
C13orf45	0	0	0.0292419	0	0	0
C14orf1	44.5962	42.1293	36.2138	38.8589	42.1864	42.2785
C14orf101	8.2944	8.18711	8.19214	7.87021	8.03173	7.94065
C14orf105	0.172462	0.21241	0.122184	0.183709	0.16987	0.120999
C14orf119	14.8751	15.2134	15.4846	15.8307	15.9593	15.3753
C14orf132	1.90762	1.87168	1.82711	2.13793	1.90172	1.75639
C14orf142	16.6372	17.506	16.5598	15.9303	15.5232	15.3078
C14orf159	22.6867	22.2211	22.5648	22.8074	23.5617	23.7759
C14orf166	224.19	222.345	206.857	210.515	208.527	210.914
C14orf166B	0	0	0	0	0.0183008	0
C14orf169	2.1909	2.26761	2.06067	2.24079	2.07116	1.8428
C14orf177	0	0	0	0	0	0
C14orf178	0.385486	0.444568	0.446067	0.92315	0.784188	0.325521
C14orf180	0.0692108	0	0.0343237	0.0516072	0.136341	0.0339908
C14orf182	0.36657	0.307257	0.54538	0.41	0.39491	0.371311
C14orf183	0.0368558	0.0706112	0	0.0732843	0.0726037	0.0724024
C14orf2	212.566	204.119	185.229	190.301	202.797	192.658
C14orf23	0	0.00927384	0.00960224	0	0	0
C14orf28	1.54686	1.55235	2.59886	2.0819	2.36314	2.39794
C14orf37	15.4416	15.5681	16.3448	16.4423	15.8907	16.0601
C14orf39	0.077775	0.0638602	0.0440811	0.077324	0.0218874	0.0327401
C14orf64	0.0226674	0.021714	0	0.022536	0.0223267	0.0445296
C14orf79	4.45146	4.40959	4.61592	4.76092	4.96584	4.98519
C14orf80	7.18301	7.02394	7.02509	8.44726	8.54604	7.16629
C14orf93	3.87158	3.41914	4.02059	4.3582	4.2394	3.90924
C15orf26	0.0207339	0.0993089	0.0205651	0.0412273	0	0.0407312
C15orf27	5.58261	6.25356	6.68057	6.67059	7.88444	7.69719
C15orf32	0	0	0	0	0	0
C15orf37	1.75418	1.62245	2.21987	2.55587	2.15976	2.436
C15orf38	8.51843	8.30551	8.0465	8.38494	9.00206	8.87832
C15orf38-AP3S2	4.76578	4.92431	4.06126	4.80831	5.69031	4.02694
C15orf39	10.1068	9.2689	8.72223	9.2449	9.37128	9.66937
C15orf40	15.5352	14.0155	13.8392	12.172	14.186	13.2461
C15orf41	11.3845	11.427	10.8815	9.73422	10.1488	10.324
C15orf43	0	0.025422	0	0	0	0
C15orf48	0.134222	0.0857168	0.266263	0.177926	0.176273	0.0878912
C15orf52	3.58016	3.61567	2.34532	2.61574	2.89215	2.72057
C15orf53	0	0	0	0	0	0
C15orf54	0.00988633	0	0	0	0	0
C15orf55	0.0158453	0.0075894	0.0392908	0.078767	0.0156071	0.0155638
C15orf56	0.902865	1.17673	1.65875	1.51552	1.77847	1.62811
C15orf57	20.0866	19.5106	18.6383	20.3785	19.6996	19.305
C15orf59	0.398926	0.477683	0.692438	0.768437	0.491162	0.587761
C15orf60	0	0	0.0390887	0	0	0
C15orf61	12.4301	11.5585	10.2655	12.1253	12.8324	10.9577
C15orf62	1.41784	1.6084	1.04856	1.61983	1.67829	1.56369
C16orf11	0	0	0	0	0	0
C16orf13	71.1326	71.1642	58.2695	66.0348	65.4022	61.7909
C16orf3	0.719403	0.758058	0.463806	0.572185	0.531442	0.671294
C16orf45	15.134	14.9411	21.21	20.4581	19.9355	18.6678
C16orf46	1.1973	1.27809	1.46792	1.12867	1.32834	1.53985
C16orf52	5.9648	5.85531	6.34217	5.96357	6.09984	5.70728
C16orf54	0	0	0	0	0	0
C16orf55	8.43803	7.15313	7.87395	8.50215	7.88138	8.06097
C16orf58	26.6539	26.885	29.7553	31.1075	31.0157	30.5039
C16orf59	8.524	7.87862	6.67262	7.44255	7.92398	7.47064
C16orf62	20.6593	19.7239	20.8045	20.6851	21.0547	21.4883
C16orf70	7.56907	7.33333	7.37913	7.47158	7.47654	7.28636
C16orf71	0.375004	0.446317	0.349409	0.293745	0.30221	0.40183
C16orf72	22.2129	21.7909	21.1654	22.2189	20.5287	21.441
C16orf74	0.410003	0.510584	0.487999	0.611438	0.40384	0.604081
C16orf78	0	0	0	0	0	0
C16orf80	39.6401	36.8206	36.1015	37.0706	37.6535	37.806
C16orf82	0	0	0	0	0	0
C16orf86	0.720567	0.281216	0.449997	0.291862	0.341725	0.655341
C16orf87	17.4546	19.1223	18.4603	17.0897	17.8809	16.2921
C16orf88	23.1047	22.8035	20.1873	20.2188	18.9084	20.8391
C16orf89	0.0834672	0.0799564	0.0496724	0.0995806	0.16684	0.103795
C16orf90	0.243544	0.0388833	0	0	0.159922	0.0398697
C16orf91	21.4037	20.7496	19.7001	22.4111	21.5521	20.9154
C16orf92	0	0	0	0.0462239	0	0
C16orf93	3.41873	3.74962	3.33322	3.47969	3.4095	3.2695
C16orf95	6.09616	5.23135	6.13271	7.21821	7.15411	6.83342
C16orf96	0.0970737	0.0591758	0.105037	0.0877372	0.112999	0.13869
C16orf97	0	0	0	0	0	0
C17orf100	1.88807	1.84885	2.35129	1.96055	2.12832	2.10181
C17orf102	0.0749661	0.0718128	0.171018	0.111797	0.132911	0.103088
C17orf103	2.42704	1.95629	3.26307	2.74621	2.76962	3.17044
C17orf104	0.559051	0.578135	0.5545	0.618969	0.513104	0.517921
C17orf105	0.273614	0.305789	0.452311	0.272027	0.314418	0.671885
C17orf107	0.0988584	0.0947047	0.186182	0.167033	0.155732	0.164968
C17orf112	0	0	0	0	0	0
C17orf47	0.0591367	0.0566493	0.0439915	0.0293969	0.0728098	0.0290432
C17orf49	28.1895	28.479	30.6383	32.3976	34.3577	35.8794
C17orf50	0	0	0.0340824	0	0	0
C17orf51	4.64482	4.6827	4.69849	4.6509	4.69856	4.50434
C17orf53	5.15959	5.03983	5.54334	5.67713	6.06141	5.46662
C17orf58	8.60085	8.51339	9.05073	9.05781	8.96361	7.81033
C17orf59	9.01076	9.23693	10.0422	11.1568	10.5292	10.3367
C17orf61-PLSCR3	2.86924	2.8241	2.15277	0.00208325	0.00795196	0.999822
C17orf62	17.6505	18.3449	17.8348	19.8256	20.0351	20.1297
C17orf64	0	0	0.0372805	0	0	0
C17orf66	0.0161071	0.0154296	0	0	0	0.0158211
C17orf67	1.33656	1.26528	1.02935	1.15684	1.17708	1.26648
C17orf70	10.6563	10.581	8.42589	9.59598	9.31064	9.80064
C17orf72	0.493463	0.365917	0.318938	0.274641	0.213771	0.296051
C17orf74	0.0393451	0.0188451	0.136587	0.0586755	0.135638	0.0386463
C17orf75	5.89615	6.16444	5.64849	5.67474	6.29362	6.19963
C17orf76-AS1	380.929	357.807	398.448	369.141	362.939	376.376
C17orf77	0.0367491	0.0352034	0.06075	0.0243574	0.0241312	0.0360964
C17orf78	0.0171804	0.0657001	0.0340466	0.0512341	0.0169624	0.0168702
C17orf80	12.021	11.7923	12.2843	12.1424	12.7731	12.3498
C17orf82	0	0	0	0	0	0
C17orf85	10.0136	9.79379	9.94975	9.8882	9.37869	9.98974
C17orf89	50.4771	51.9442	38.6768	42.7321	44.2989	43.3928
C17orf96	5.27311	5.78064	5.85482	6.22375	6.19373	6.67512
C17orf97	3.58179	3.4811	4.05277	3.73389	3.66496	4.20131
C17orf98	0	0.0751247	0.15557	0.0779686	0.0772446	0
C17orf99	0	0	0	0	0	0.0630116
C18orf21	17.73	18.2873	17.4711	16.6945	16.4808	17.5606
C18orf25	12.2585	12.6166	12.7047	11.8733	11.9654	11.8849
C18orf32	43.3822	40.1024	50.3855	46.0801	46.4473	49.7744
C18orf42	0	0	0	0.0134728	0.0133477	0.0133107
C18orf54	5.17495	5.36991	6.49065	6.11292	5.9341	6.2654
C18orf56	4.30605	4.16745	4.7113	4.32521	4.59112	6.27894
C18orf61	0.385291	0.553627	0.460833	0.484454	0.424146	0.512017
C18orf62	0	0	0	0	0	0
C18orf63	0	0	0	0	0	0
C18orf8	17.916	16.2102	16.8325	16.6977	18.3863	17.173
C19orf10	98.1376	95.231	90.8828	99.6367	99.3063	96.2956
C19orf12	12.4547	12.2237	12.2008	12.4338	12.1582	12.3724
C19orf18	0.159853	0.0765646	0.317104	0.278121	0.118088	0.157014
C19orf21	0.0214828	0	0.05327	0.0106791	0	0.0211013
C19orf24	50.6995	45.022	39.2751	44.8049	45.1584	39.6615
C19orf25	8.00432	7.04415	6.96394	8.24704	8.6615	8.29742
C19orf26	0.301183	0.496246	0.382377	0.586897	0.545848	0.485168
C19orf33	0.220769	0.211483	0	0.438978	0.217451	0.216848
C19orf35	0.060084	0.103602	0.0834329	0.0597356	0.0355085	0.0826235
C19orf38	0.160559	0.30761	0.477755	0.510809	0.569323	0.567745
C19orf40	7.78962	6.38349	7.36405	6.80665	7.55266	7.98003
C19orf43	134.864	126.994	116.083	121.838	114.008	120.135
C19orf44	2.09044	2.13255	2.18114	2.04233	1.88966	2.23109
C19orf45	0.0385452	0.0369239	0.0573472	0.0383217	0.151863	0.0946515
C19orf47	9.79121	9.69071	8.33446	10.0139	9.50312	8.77219
C19orf48	154.442	152.183	134.532	142.986	140.735	137.61
C19orf52	15.2375	15.9443	12.8429	15.1728	16.2063	14.8731
C19orf53	108.294	110.302	104.934	104.461	107.857	103.639
C19orf54	4.26094	4.40227	5.21091	5.07904	5.41641	5.16036
C19orf55	8.41343	9.01267	10.3477	11.3614	10.5064	10.0749
C19orf57	1.84752	2.15081	2.46875	2.42356	2.37578	2.62124
C19orf59	0	0	0.0766076	0	0	0.0252882
C19orf60	44.0904	44.1578	36.6685	43.5486	43.4457	43.7189
C19orf66	1.8361	1.9149	1.96802	1.95795	2.14395	1.84712
C19orf69	0	0.0366843	0	0	0	0
C19orf70	39.1499	41.3748	34.0128	40.2623	37.6769	37.7729
C19orf71	6.44637	4.36926	5.42878	5.38114	6.64898	5.01771
C19orf73	1.5255	2.01563	1.61743	1.67354	2.69426	2.3251
C19orf77	0.0807205	0	0.0800634	0	0.159014	0.0792867
C19orf80	0.0850665	0.0407442	0.126561	0.0422866	0	0.0835556
C19orf81	8.55755	8.1491	10.296	11.0251	12.2693	11.5887
C1D	23.4007	24.0283	22.5636	23.5754	23.8658	23.1312
C1GALT1	3.92633	3.95082	4.54421	4.11444	4.19694	4.32882
C1GALT1C1	13.4155	13.6194	15.4082	14.7047	14.4056	14.7128
C1QA	0	0	0	0	0	0
C1QB	0	0	0	0	0	0
C1QBP	195.476	184.954	160.493	159.87	157.422	153.085
C1QC	0	0	0	0	0	0
C1QL1	2.63198	2.01702	2.17546	2.5295	2.89487	2.99456
C1QL2	0	0	0	0	0.0151774	0
C1QL3	0.198735	0.190377	0.0862387	0.0987912	0.0978745	0.158605
C1QL4	5.56066	5.61945	6.63666	7.42692	7.70403	7.24752
C1QTNF1	5.9714	5.69862	5.64224	6.53005	6.38997	6.59969
C1QTNF2	0.181503	0.124192	0.257179	0.116004	0.102157	0.152811
C1QTNF3	0.466067	0.667	0.719882	0.590947	0.646539	0.607881
C1QTNF3-AMACR	0.277597	0.472302	0.490979	0.758755	1.03279	1.16514
C1QTNF4	0.540298	0.247535	0.3961	0.677296	0.647868	0.669146
C1QTNF5	0.0076581	0.014672	0.00759577	0	0	0.00752208
C1QTNF6	0.73038	0.907247	1.54839	1.87915	1.68217	1.92783
C1QTNF7	0	0.00657001	0	0.0131063	0	0
C1QTNF8	0	0	0	0	0	0
C1QTNF9	0.0876332	0.117526	0.104304	0.1394	0.172632	0.137723
C1QTNF9B	0.0712197	0.068224	0.0706399	0.0354034	0.0350746	0.0699547
C1QTNF9B-AS1	0.0473486	0	0.140889	0.094148	0.0932738	0.0561336
C1R	18.3517	18.676	16.2467	16.9019	17.0573	18.7977
C1RL	3.10688	3.49639	4.29127	4.03588	3.8055	4.41578
C1RL-AS1	0.342262	0.317116	0.45078	0.457423	0.414489	0.31965
C1S	15.8614	16.9596	14.617	14.8809	15.6841	16.2658
C1orf100	0.143838	0.137788	0	0	0.141683	0.203422
C1orf101	0.330616	0.316708	0.31866	0.298817	0.277021	0.275541
C1orf105	0.25469	0.0697078	0.108264	0	0.0358374	0.0357381
C1orf106	0.0505528	0.0207515	0.0501413	0.0574403	0.0355651	0.0638475
C1orf109	13.2176	12.1298	12.6773	11.9057	11.6389	11.4638
C1orf110	0.0210875	0.0202005	0	0	0.0207705	0
C1orf111	0.0586598	0.0561924	0	0.0583196	0.0577781	0.115236
C1orf112	7.4167	7.25131	7.24027	7.23051	7.26089	6.64841
C1orf114	3.23284	3.14602	2.93508	2.99302	2.17338	2.57058
C1orf115	3.46166	3.70965	4.04478	4.17688	3.99645	4.02573
C1orf116	0.172665	0.128539	0.244911	0.138256	0.158888	0.142344
C1orf122	63.4869	58.6793	48.2093	56.424	58.85	56.6346
C1orf123	29.0001	26.2335	27.2585	29.3777	27.1646	29.5
C1orf127	0.0333582	0.0106517	0.0220578	0.0442197	0.0438091	0.0655314
C1orf131	13.3464	14.7094	13.4668	12.4426	12.9639	13.7671
C1orf140	0	0.0127048	0	0.0131858	0.00653167	0.0195407
C1orf141	0.26321	0.22315	0.1018	0.145772	0.128718	0
C1orf145	0.866712	0.77831	1.00047	0.766161	1.11615	1.01225
C1orf146	0.0519309	0.0994931	0.103016	0	0	0.0510085
C1orf151-NBL1	0.605876	0.493634	0.545785	0.705384	0.539353	0.667667
C1orf158	0	0	0	0	0	0
C1orf159	4.09988	4.31444	3.68064	3.98685	4.00878	3.95358
C1orf162	0.677471	0.725325	1.06723	0.990504	0.510279	0.704581
C1orf168	0.0261983	0.0250963	0.0433083	0.0260463	0.0602104	0.00857764
C1orf170	0	0.0384162	0.0198883	0.0299028	0.0197501	0.0196953
C1orf172	0.426687	0.391709	0.211607	0.282809	0.420274	0.331794
C1orf173	0.192168	0.199752	0.158161	0.150404	0.136926	0.188755
C1orf174	8.61365	9.38753	7.98425	7.34584	7.66066	7.98319
C1orf177	0.0379505	0.0181752	0	0.0754637	0.130838	0
C1orf180	0.0106092	0.0304888	0.0105228	0.0210954	0	0.0521038
C1orf185	0.0401891	0	0.039862	0.0799122	0.0395851	0.157901
C1orf186	0	0	0	0	0	0
C1orf189	0.283465	0	0.0562315	0.225457	0	0.167058
C1orf192	6.86895	5.82808	8.27304	7.17066	6.71744	8.24099
C1orf194	0.107799	0.0516322	0.106921	0.0535868	0.106178	0.105884
C1orf198	13.19	12.9802	13.7767	13.7095	13.683	14.0315
C1orf200	0	0	0	0	0	0
C1orf204	0.804725	0.673437	0.712061	0.756462	0.94937	0.870129
C1orf21	5.01261	5.17653	6.50997	6.39662	6.28732	6.52975
C1orf210	0.118431	0.113449	0.164455	0.235492	0.0699888	0.162859
C1orf213	7.05166	8.48583	7.62257	6.90408	8.3894	8.77515
C1orf216	11.1127	11.3038	10.2992	10.2717	11.1201	10.1583
C1orf220	0.694919	0.883759	0.451586	0.583682	0.507455	0.541353
C1orf226	4.90856	4.73122	4.03434	4.33479	4.2561	4.52997
C1orf227	0.378385	0.181235	0.938264	0.282144	0.559047	0.557497
C1orf228	0.134362	0.147098	0.11423	0.0190833	0.132342	0.0942682
C1orf229	0.26299	0.185631	0.233391	0.178897	0.204503	0.299106
C1orf233	21.492	20.6313	18.4897	22.6569	21.882	21.4658
C1orf27	11.7526	11.9861	13.8867	12.4634	11.2994	12.7365
C1orf35	18.1633	18.6529	16.432	18.4743	18.7925	16.9152
C1orf43	152.475	156.356	160.247	161.989	162.353	158.704
C1orf50	10.5395	10.1038	9.007	9.69436	10.4567	9.71738
C1orf51	4.2512	4.28486	4.50993	4.33681	4.24192	5.08345
C1orf52	9.75106	10.9808	9.60901	9.91721	9.48758	9.9397
C1orf53	14.5269	12.0983	14.8203	12.6741	16.8198	14.8512
C1orf54	7.29352	8.16522	8.01858	8.12487	9.60737	8.37236
C1orf56	6.8424	6.7039	6.292	6.63227	7.12335	6.87396
C1orf61	0	0.161288	0.04175	0.083697	0.0414599	0.041345
C1orf63	35.5256	32.9948	32.0839	34.087	35.2803	33.6769
C1orf64	0	0	0	0	0	0
C1orf65	0	0	0	0	0	0
C1orf68	0	0	0	0	0	0
C1orf74	5.73967	5.31765	5.56829	5.58143	4.68365	5.34966
C1orf85	27.8336	26.5529	24.9295	24.2476	24.9314	23.6157
C1orf86	22.0682	19.3578	17.1185	22.5921	22.1698	20.5338
C1orf87	0	0	0	0	0	0
C1orf94	0.287204	0.425761	0.346372	0.252424	0.234522	0.218281
C1orf95	0.041702	0.0254214	0.0263217	0.033922	0.0261388	0.0521326
C2	0.749389	0.739398	0.83507	0.739476	0.597465	0.957346
C20orf111	25.9613	26.3928	24.9613	25.4641	26.2581	25.0754
C20orf112	10.6363	10.4375	9.71858	9.54592	9.81804	9.58184
C20orf118	0.94404	0.533704	0.736804	0.707771	0.701199	0.699254
C20orf141	0	0	0	0	0	0
C20orf144	0.310271	0.29722	0.230809	0.231354	0.229206	0.7619
C20orf166	0	0	0	0	0	0
C20orf166-AS1	0.0126643	0.0121316	0.0125612	0.0125909	0.0249479	0.0248787
C20orf173	0.0332374	0.0319471	0	0	0.0438454	0.0291492
C20orf194	1.68797	1.59259	1.9098	1.83419	2.05527	1.79546
C20orf195	0.564001	0.150077	0.404018	0.249214	0.308624	0.369322
C20orf196	2.98847	3.43532	2.40095	2.97114	3.00242	3.40505
C20orf197	0	0	0	0	0	0
C20orf201	0.0427893	0	0	0.0425411	0.0421461	0.0420292
C20orf202	0.101523	0.194505	0.181254	0.201869	0.279992	0.159552
C20orf203	0.105339	0.106844	0.079898	0.0369631	0.0671363	0.079123
C20orf24	135.566	134.175	118.699	124.792	124.975	118.877
C20orf26	0.00726118	0.00695576	0.0324685	0.016225	0.0160743	0
C20orf27	26.9642	27.6198	21.1894	23.3796	23.4381	21.5075
C20orf78	0	0	0	0	0	0
C20orf85	0	0	0	0	0	0
C20orf96	11.3909	11.7286	10.412	10.8902	10.9597	10.8495
C21orf119	10.3393	10.4303	10.9812	12.0532	12.5721	11.8183
C21orf128	0	0	0	0	0	0
C21orf15	0	0	0.131122	0.105145	0.0260421	0.0519399
C21orf2	14.1483	14.3903	11.4836	13.3279	13.3868	14.4129
C21orf33	120.35	120.071	100.458	113.632	112.395	113.803
C21orf37	0	0	0	0	0	0
C21orf49	0.317051	0.465218	0.400239	0.515833	0.312286	0.45298
C21orf54	0	0	0	0	0	0
C21orf58	4.01187	4.00079	3.97921	4.35679	4.64056	4.17301
C21orf59	34.7481	33.7301	36.1243	33.7721	32.5449	34.7713
C21orf62	0.400699	0.506963	0.412436	0.458506	0.528718	0.363878
C21orf67	6.02089	4.84115	4.47421	4.07442	4.22195	4.29288
C21orf7	1.76195	1.61181	1.71612	1.76751	1.78237	2.02689
C21orf88	0	0	0	0	0	0.0243591
C21orf90	6.02786	4.94758	4.77611	4.55243	5.03795	4.73129
C21orf91	7.28945	6.90964	8.34453	7.59345	7.7241	7.74238
C21orf91-OT1	0	0	0	0.123663	0	0
C22orf15	0.0860966	0.494851	0.298885	0.171195	0.381611	0.169135
C22orf23	3.55965	3.64728	4.37376	3.75531	3.80949	4.40157
C22orf24	0.272502	0.313248	0.378398	0.379291	0.322088	0.374727
C22orf26	0.296128	0.250299	0.259163	0.225138	0.377464	0.359308
C22orf28	46.4616	45.7798	42.7517	44.5831	42.6652	43.0718
C22orf29	16.3461	16.4632	15.7682	15.4869	15.8754	15.2999
C22orf31	0	0.0943063	0.0650973	0.0652509	0	0.0644658
C22orf32	14.3482	14.92	14.6646	15.4434	15.5663	14.8491
C22orf34	0.0854535	0.070165	0.0605414	0.0728212	0.0841691	0.0839358
C22orf39	21.4834	19.9757	21.5456	23.1323	22.6904	23.6257
C22orf42	0.0472699	0	0.0468851	0	0	0
C22orf43	0.622398	1.04338	0.668776	0.489875	0.791847	0.713234
C22orf46	3.21845	3.43135	3.68291	3.2709	3.13485	3.36618
C2CD2	13.2357	13.9565	19.9165	18.4353	18.269	18.4957
C2CD2L	7.14463	6.67062	7.25712	7.17522	7.32266	7.56029
C2CD3	7.29859	7.25154	7.62898	7.33535	7.12898	6.83808
